fpr,tpr,thr
0.0000,0.0000,inf
0.0000,0.0080,0.9524
0.0000,0.3825,0.8294
0.0003,0.3825,0.8224
0.0003,0.3904,0.8220
0.0003,0.3944,0.8174
0.0003,0.4502,0.7950
0.0003,0.4582,0.7877
0.0003,0.5139,0.7782
0.0003,0.5179,0.7771
0.0003,0.5498,0.7695
0.0003,0.5618,0.7654
0.0003,0.6016,0.7554
0.0003,0.6056,0.7531
0.0003,0.6215,0.7487
0.0003,0.6255,0.7484
0.0003,0.6414,0.7468
0.0003,0.6494,0.7417
0.0003,0.6574,0.7389
0.0005,0.6574,0.7378
0.0005,0.6653,0.7377
0.0005,0.6733,0.7374
0.0005,0.6813,0.7373
0.0005,0.6853,0.7372
0.0005,0.7251,0.7197
0.0005,0.7291,0.7166
0.0005,0.7371,0.7166
0.0005,0.7450,0.7117
0.0005,0.7530,0.7110
0.0005,0.7729,0.6841
0.0008,0.7729,0.6759
0.0008,0.7769,0.6750
0.0008,0.7849,0.6611
0.0011,0.7849,0.6595
0.0011,0.8167,0.6441
0.0011,0.8247,0.6430
0.0011,0.8327,0.6394
0.0014,0.8327,0.6387
0.0014,0.8446,0.6268
0.0022,0.8446,0.6242
0.0022,0.8486,0.6225
0.0025,0.8486,0.6189
0.0025,0.8725,0.6138
0.0027,0.8725,0.6073
0.0027,0.8845,0.6026
0.0033,0.8845,0.6011
0.0033,0.9004,0.5917
0.0049,0.9004,0.5877
0.0049,0.9044,0.5867
0.0052,0.9044,0.5846
0.0052,0.9084,0.5838
0.0063,0.9084,0.5799
0.0063,0.9124,0.5784
0.0074,0.9124,0.5759
0.0074,0.9203,0.5756
0.0082,0.9203,0.5722
0.0082,0.9243,0.5718
0.0084,0.9243,0.5712
0.0084,0.9283,0.5708
0.0095,0.9283,0.5680
0.0095,0.9323,0.5652
0.0120,0.9323,0.5581
0.0120,0.9363,0.5581
0.0169,0.9363,0.5523
0.0169,0.9402,0.5518
0.0182,0.9402,0.5482
0.0182,0.9442,0.5481
0.0215,0.9442,0.5421
0.0215,0.9482,0.5420
0.0231,0.9482,0.5418
0.0231,0.9522,0.5417
0.0278,0.9522,0.5381
0.0278,0.9562,0.5377
0.0286,0.9562,0.5375
0.0286,0.9602,0.5374
0.0297,0.9602,0.5368
0.0297,0.9641,0.5364
0.0441,0.9641,0.5264
0.0441,0.9681,0.5262
0.0479,0.9681,0.5241
0.0479,0.9721,0.5239
0.0528,0.9721,0.5218
0.0528,0.9761,0.5218
0.0545,0.9761,0.5212
0.0545,0.9801,0.5212
0.0564,0.9801,0.5203
0.0564,0.9841,0.5201
0.0577,0.9841,0.5191
0.0577,0.9880,0.5191
0.0583,0.9880,0.5190
0.0583,0.9920,0.5190
0.0874,0.9920,0.5104
0.0874,0.9960,0.5103
0.1413,0.9960,0.5000
0.1413,1.0000,0.5000
0.2612,1.0000,0.4847
0.2617,1.0000,0.4847
0.2892,1.0000,0.4822
0.2898,1.0000,0.4822
0.4624,1.0000,0.4700
0.4630,1.0000,0.4700
0.5014,1.0000,0.4675
0.5019,1.0000,0.4675
0.5172,1.0000,0.4666
0.5177,1.0000,0.4666
0.5714,1.0000,0.4641
0.5719,1.0000,0.4641
0.6217,1.0000,0.4615
0.6223,1.0000,0.4615
0.6501,1.0000,0.4602
0.6506,1.0000,0.4602
0.6620,1.0000,0.4596
0.6626,1.0000,0.4596
0.7187,1.0000,0.4566
0.7192,1.0000,0.4565
0.7367,1.0000,0.4557
0.7372,1.0000,0.4556
0.7598,1.0000,0.4544
0.7603,1.0000,0.4543
0.7718,1.0000,0.4538
0.7723,1.0000,0.4538
0.8647,1.0000,0.4470
0.8652,1.0000,0.4470
0.8960,1.0000,0.4440
0.8965,1.0000,0.4440
1.0000,1.0000,0.4066
