px,all
1.0000,0.7590
1.0000,0.7683
1.0000,0.7778
1.0000,0.7875
1.0000,0.7975
1.0000,0.8077
1.0000,0.8182
1.0000,0.8289
1.0000,0.8400
1.0000,0.8514
1.0000,0.8630
1.0000,0.8750
1.0000,0.8873
1.0000,0.9000
1.0000,0.9130
1.0000,0.9265
1.0000,0.9403
1.0000,0.9545
1.0000,0.9692
1.0000,0.9844
1.0000,1.0000
0.9841,1.0000
0.9683,1.0000
0.9524,1.0000
0.9365,1.0000
0.9206,1.0000
0.9048,1.0000
0.8889,1.0000
0.8730,1.0000
0.8571,1.0000
0.8413,1.0000
0.8254,1.0000
0.8095,1.0000
0.7937,1.0000
0.7778,1.0000
0.7619,1.0000
0.7460,1.0000
0.7302,1.0000
0.7143,1.0000
0.6984,1.0000
0.6825,1.0000
0.6667,1.0000
0.6508,1.0000
0.6349,1.0000
0.6190,1.0000
0.6032,1.0000
0.5873,1.0000
0.5714,1.0000
0.5556,1.0000
0.5397,1.0000
0.5238,1.0000
0.5079,1.0000
0.4921,1.0000
0.4762,1.0000
0.4603,1.0000
0.4444,1.0000
0.4286,1.0000
0.4127,1.0000
0.3968,1.0000
0.3810,1.0000
0.3651,1.0000
0.3492,1.0000
0.3333,1.0000
0.3175,1.0000
0.3016,1.0000
0.2857,1.0000
0.2698,1.0000
0.2540,1.0000
0.2381,1.0000
0.2222,1.0000
0.2063,1.0000
0.1905,1.0000
0.1746,1.0000
0.1587,1.0000
0.1429,1.0000
0.1270,1.0000
0.1111,1.0000
0.0952,1.0000
0.0794,1.0000
0.0635,1.0000
0.0476,1.0000
0.0317,1.0000
0.0159,1.0000
0.0000,1.0000
