px,all
1.0000,0.0640
1.0000,0.0640
1.0000,0.0640
1.0000,0.0640
1.0000,0.0640
1.0000,0.0641
1.0000,0.0641
1.0000,0.0641
1.0000,0.0641
1.0000,0.0641
1.0000,0.0641
1.0000,0.0642
1.0000,0.0642
1.0000,0.0642
1.0000,0.0642
1.0000,0.0642
1.0000,0.0642
1.0000,0.0643
1.0000,0.0643
1.0000,0.0643
1.0000,0.0643
1.0000,0.0643
1.0000,0.0643
1.0000,0.0644
1.0000,0.0644
1.0000,0.0644
1.0000,0.0644
1.0000,0.0644
1.0000,0.0644
1.0000,0.0645
1.0000,0.0645
1.0000,0.0645
1.0000,0.0645
1.0000,0.0645
1.0000,0.0645
1.0000,0.0646
1.0000,0.0646
1.0000,0.0646
1.0000,0.0646
1.0000,0.0646
1.0000,0.0646
1.0000,0.0647
1.0000,0.0647
1.0000,0.0647
1.0000,0.0647
1.0000,0.0647
1.0000,0.0647
1.0000,0.0648
1.0000,0.0648
1.0000,0.0648
1.0000,0.0648
1.0000,0.0648
1.0000,0.0648
1.0000,0.0649
1.0000,0.0649
1.0000,0.0649
1.0000,0.0649
1.0000,0.0649
1.0000,0.0649
1.0000,0.0650
1.0000,0.0650
1.0000,0.0650
1.0000,0.0650
1.0000,0.0650
1.0000,0.0650
1.0000,0.0651
1.0000,0.0651
1.0000,0.0651
1.0000,0.0651
1.0000,0.0651
1.0000,0.0651
1.0000,0.0652
1.0000,0.0652
1.0000,0.0652
1.0000,0.0652
1.0000,0.0652
1.0000,0.0652
1.0000,0.0653
1.0000,0.0653
1.0000,0.0653
1.0000,0.0653
1.0000,0.0653
1.0000,0.0653
1.0000,0.0654
1.0000,0.0654
1.0000,0.0654
1.0000,0.0654
1.0000,0.0654
1.0000,0.0654
1.0000,0.0655
1.0000,0.0655
1.0000,0.0655
1.0000,0.0655
1.0000,0.0655
1.0000,0.0656
1.0000,0.0656
1.0000,0.0656
1.0000,0.0656
1.0000,0.0656
1.0000,0.0656
1.0000,0.0657
1.0000,0.0657
1.0000,0.0657
1.0000,0.0657
1.0000,0.0657
1.0000,0.0657
1.0000,0.0658
1.0000,0.0658
1.0000,0.0658
1.0000,0.0658
1.0000,0.0658
1.0000,0.0658
1.0000,0.0659
1.0000,0.0659
1.0000,0.0659
1.0000,0.0659
1.0000,0.0659
1.0000,0.0659
1.0000,0.0660
1.0000,0.0660
1.0000,0.0660
1.0000,0.0660
1.0000,0.0660
1.0000,0.0661
1.0000,0.0661
1.0000,0.0661
1.0000,0.0661
1.0000,0.0661
1.0000,0.0661
1.0000,0.0662
1.0000,0.0662
1.0000,0.0662
1.0000,0.0662
1.0000,0.0662
1.0000,0.0662
1.0000,0.0663
1.0000,0.0663
1.0000,0.0663
1.0000,0.0663
1.0000,0.0663
1.0000,0.0663
1.0000,0.0664
1.0000,0.0664
1.0000,0.0664
1.0000,0.0664
1.0000,0.0664
1.0000,0.0665
1.0000,0.0665
1.0000,0.0665
1.0000,0.0665
1.0000,0.0665
1.0000,0.0665
1.0000,0.0666
1.0000,0.0666
1.0000,0.0666
1.0000,0.0666
1.0000,0.0666
1.0000,0.0666
1.0000,0.0667
1.0000,0.0667
1.0000,0.0667
1.0000,0.0667
1.0000,0.0667
1.0000,0.0668
1.0000,0.0668
1.0000,0.0668
1.0000,0.0668
1.0000,0.0668
1.0000,0.0668
1.0000,0.0669
1.0000,0.0669
1.0000,0.0669
1.0000,0.0669
1.0000,0.0669
1.0000,0.0670
